영상ID,UUID,인물성별,촬영장소,촬영시작,스크립트파일,시나리오번호
c9f5c37976afa879c834_001.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_004.txt,
c9f5c37976afa879c834_002.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_005.txt,
c9f5c37976afa879c834_003.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_006.txt,
c9f5c37976afa879c834_004.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_007.txt,
c9f5c37976afa879c834_005.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_008.txt,
c9f5c37976afa879c834_006.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_002_footage_001.txt,
c9f5c37976afa879c834_007.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_006_footage_002.txt,
c9f5c37976afa879c834_008.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_006_footage_003.txt,
c9f5c37976afa879c834_009.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_004.txt,
c9f5c37976afa879c834_010.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_005.txt,
c9f5c37976afa879c834_011.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_006.txt,
c9f5c37976afa879c834_012.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_007.txt,
c9f5c37976afa879c834_013.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_008.txt,
c9f5c37976afa879c834_014.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_002_footage_001.txt,
c9f5c37976afa879c834_015.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_006_footage_002.txt,
c9f5c37976afa879c834_016.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_006_footage_003.txt,
c9f5c37976afa879c834_017.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_004.txt,
c9f5c37976afa879c834_018.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_005.txt,
c9f5c37976afa879c834_019.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_006.txt,
c9f5c37976afa879c834_020.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_007.txt,
c9f5c37976afa879c834_021.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_008.txt,
c9f5c37976afa879c834_022.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_002_footage_001.txt,
c9f5c37976afa879c834_023.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_006_footage_002.txt,
c9f5c37976afa879c834_024.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_006_footage_003.txt,
c9f5c37976afa879c834_025.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_004.txt,
c9f5c37976afa879c834_026.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_005.txt,
c9f5c37976afa879c834_027.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_006.txt,
c9f5c37976afa879c834_028.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_007.txt,
c9f5c37976afa879c834_029.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_008.txt,
c9f5c37976afa879c834_030.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_002_footage_001.txt,
c9f5c37976afa879c834_031.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_006_footage_002.txt,
c9f5c37976afa879c834_032.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_006_footage_003.txt,
c9f5c37976afa879c834_033.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_004.txt,
c9f5c37976afa879c834_034.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_005.txt,
c9f5c37976afa879c834_035.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_006.txt,
c9f5c37976afa879c834_036.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_007.txt,
c9f5c37976afa879c834_037.mp4,c9f5c37976afa879c834,여성,EQ,2020-08-03,speaker_001_footage_008.txt,
